"enunciado";"resposta";"justificativa"
"O problema fundamental da Computação Gráfica é transformar uma imagem em dados.";"False";"O problema fundamental é o inverso: transformar dados em uma imagem."
"A Modelagem Geométrica é a área responsável por gerar imagens a partir de dados geométricos.";"False";"A Modelagem Geométrica descreve e estrutura os dados; a Síntese de Imagens é que gera as imagens a partir desses dados."
"A Síntese de Imagens, ou Visualização, tem como objetivo otimizar ou melhorar imagens já existentes.";"False";"Otimizar imagens existentes é a função do Processamento de Imagens. A Síntese de Imagens cria imagens a partir de modelos."
"A Visão Computacional busca extrair dados e informações de alto nível a partir de uma ou mais imagens.";"True";"A Visão Computacional realiza o processo inverso da Síntese de Imagens, analisando imagens para extrair informações."
"O Processamento de Imagens opera transformando dados de entrada em uma imagem de saída.";"False";"O Processamento de Imagens opera em uma imagem de entrada para gerar uma imagem de saída modificada (imagem -> imagem)."
"Animação é o processo de descrever matematicamente o movimento de objetos em uma cena.";"False";"Animação é a geração de sequências de imagens. A descrição matemática do movimento é feita na Modelagem de Movimento."
"A Análise de Movimento é análoga à Visão Computacional, porém aplicada a sequências de imagens (vídeo).";"True";"Correto, a Análise de Movimento foca em extrair informações de vídeos, assim como a Visão Computacional faz para imagens estáticas."
"Uma definição abrangente de Computação Gráfica engloba a síntese, o processamento e a análise de objetos gráficos.";"True";"Essa é a definição formal que abrange as principais áreas da Computação Gráfica."
"Um usuário comum de um programa gráfico, como um jogo, necessita de sólidos conhecimentos em Fundamentos de Computação Gráfica (FCG).";"False";"Usuários finais interagem com o software sem precisar conhecer os fundamentos matemáticos e algorítmicos por trás dele."
"Desenvolvedores de APIs gráficas, como OpenGL, precisam de conhecimento aprofundado em FCG e Ciência da Computação.";"True";"Esses profissionais trabalham na camada mais fundamental do software gráfico, o que exige conhecimento profundo dos princípios da CG."
"Em Visão Computacional, recebemos dados geométricos para a geração de informações.";"False";"O processo é o inverso: em Visão Computacional, recebemos imagens para gerar dados ou informações."
"Coordenadas Cartesianas em 2D são descritas por um raio e um ângulo.";"False";"Coordenadas Cartesianas 2D são descritas por um par de eixos (x, y). Um raio e um ângulo descrevem Coordenadas Polares."
"Coordenadas Cilíndricas são definidas por um raio, um ângulo e uma altura (h).";"True";"Esses três componentes (raio, ângulo e altura) definem um ponto no sistema de coordenadas cilíndricas."
"O modelo de cores RGB é considerado orientado ao usuário, por ser intuitivo para artistas.";"False";"O modelo RGB é orientado a hardware, pois se baseia na forma como monitores emitem luz (Vermelho, Verde, Azul)."
"O sistema de cores HSV é classificado como orientado a hardware, pois se baseia no funcionamento de monitores.";"False";"O sistema HSV (Matiz, Saturação, Valor) é orientado ao usuário, por ser mais intuitivo para descrever cores artisticamente."
"No modelo de cores RGB, a cor branca é representada pela origem do sistema (0, 0, 0).";"False";"A origem (0, 0, 0) representa o preto (ausência de luz). O branco é a combinação máxima das cores (ex: 255, 255, 255)."
"O modelo HSV é composto pelos componentes H (Matiz), S (Saturação) e V (Valor/Brilho).";"True";"Matiz (Hue), Saturação (Saturation) e Valor (Value) são os três componentes que definem uma cor no modelo HSV."
"O subespaço de cores do modelo RGB é representado por um hexacone (uma pirâmide de 6 lados).";"False";"O subespaço do RGB é um cubo. O do HSV é que é representado por um hexacone."
"O sistema de cores HSV é um sistema orientado ao usuário.";"True";"Correto, pois é baseado em como um artista descreve e mistura cores (matiz, pureza, brilho)."
"Um sistema de coordenadas normalizado se encontra, por padrão, em um intervalo de [0, 255].";"False";"Um sistema normalizado geralmente está no intervalo [0, 1] ou [-1, 1]. O intervalo [0, 255] é comum para representação de cores de 8 bits."
"A etapa de Rasterização consiste na conversão da representação 3D de um objeto para uma representação 2D (pixels).";"True";"Esta é a definição correta da etapa de rasterização, também conhecida como conversão de varredura."
"Culling é o nome dado à etapa de coloração dos pixels, que envolve iluminação e sombreamento.";"False";"Culling é o processo de remover superfícies escondidas ou fora do campo de visão. A coloração dos pixels é a etapa de Iluminação/Sombreamento."
"Em Computação Gráfica, transformações são sempre representadas por equações algébricas, pois o uso de matrizes não é eficiente.";"False";"As matrizes são a forma preferencial por serem computacionalmente eficientes e elegantes para representar e concatenar transformações."
"Para que a multiplicação de duas matrizes (A x B) seja possível, o número de colunas da matriz A deve ser igual ao número de linhas da matriz B.";"True";"Esta é a regra fundamental para a multiplicação de matrizes."
"A matriz transposta é o resultado da troca dos valores de suas linhas pelas suas colunas.";"True";"Essa é a definição de uma matriz transposta."
"A propriedade da transposta de um produto de matrizes é (AB)^T = A^T B^T.";"False";"A propriedade correta inverte a ordem: (AB)^T = B^T A^T."
"O produto interno entre dois vetores resulta em um valor escalar (um único número).";"True";"Correto, o produto interno ou escalar de dois vetores resulta em um número, e não em outro vetor."
"A menos que se use a transposta da matriz, a multiplicação de um vetor por uma matriz de transformação é sempre impossível.";"False";"A multiplicação é possível desde que as dimensões sejam compatíveis (vetor-linha com matriz, ou matriz com vetor-coluna)."
"Multiplicando os vértices de um objeto pela matriz identidade multiplicada por 0,5, o objeto passa a ter o dobro do tamanho.";"False";"Multiplicar por 0,5 (ou dividir por 2) reduz as dimensões do objeto à metade."
"As transformações geométricas podem alterar a posição e o tamanho, mas nunca a orientação de um objeto.";"False";"As transformações podem alterar todas essas características: posição (translação), tamanho (escala), orientação (rotação) e forma (cisalhamento)."
