enunciado;resposta;justificativa
"A sensibilidade do olho humano ao brilho é linear, o que significa que percebemos a diferença entre a intensidade 10 e 20 da mesma forma que percebemos a diferença entre a intensidade 200 e 210.";False;"Falso — A sensibilidade do olho humano ao brilho é logarítmica, não linear. Somos muito mais sensíveis a variações em tons escuros do que a variações de mesma magnitude em tons claros, por isso a diferença entre 10 e 20 é muito mais perceptível do que entre 200 e 210."

"O fenômeno das Bandas de Mach descreve como nosso cérebro cria a ilusão de 'halos' mais claros e mais escuros nas bordas de regiões de intensidade uniforme, sendo um efeito realçado pelo sistema de inibição lateral da retina.";True;"Verdadeiro — Essa é a definição exata das Bandas de Mach. É um fenômeno da percepção visual que acentua as bordas, não sendo uma característica física da imagem."

"Para remover um ruído aleatório do tipo 'sal e pimenta' espalhado por uma imagem, a abordagem mais eficaz seria trabalhar no domínio da frequência, pois o ruído aleatório não possui uma representação clara no domínio espacial.";False;"Falso — O ruído 'sal e pimenta' é melhor tratado no domínio espacial com filtros não-lineares, como o filtro de mediana. O domínio da frequência é ideal para tratar ruídos periódicos (que se repetem em um padrão), pois eles aparecem como picos de energia localizados."

"Os bastonetes são os fotorresceptores responsáveis pela percepção de cores e detalhes finos, sendo mais ativos em condições de boa iluminação (visão fotópica).";False;"Falso — A afirmação descreve os 

cones. Os bastonetes são responsáveis pela visão em baixa iluminação (visão escotópica), não percebem cores e possuem baixa resolução espacial."


"O Processamento Digital de Imagens (PDI) tem como principal objetivo receber uma descrição geométrica e de iluminação de uma cena para então sintetizar (criar) uma imagem realista.";False;"Falso — Essa é a definição de 

Computação Gráfica (CG). O PDI geralmente recebe uma imagem e a processa para gerar outra imagem melhorada ou para extrair informações (análise)."




"As aplicações de PDI estão majoritariamente concentradas na banda de luz visível, não sendo comumente utilizadas para imagens de radar ou ressonância magnética.";False;"Falso — O PDI é utilizado em quase todo o espectro eletromagnético, incluindo imagens de raios gama, raios X, banda de rádio (ressonância magnética) e micro-ondas (radar)."


"A Visão Computacional (VC) pode ser considerada uma etapa subsequente ao Processamento Digital de Imagens (PDI), onde o PDI realiza o pré-processamento e a VC realiza a interpretação e extração de informações.";True;"Verdadeiro — Essa é a relação típica. O PDI atua em um nível mais baixo, preparando e melhorando a imagem, enquanto a VC atua em um nível mais alto, usando a saída do PDI para 'entender' o conteúdo da cena e tomar decisões."

"O objetivo final tanto do PDI quanto da Visão Computacional é sempre produzir uma imagem visualmente melhor para um observador humano.";False;"Falso — O realce visual é um dos objetivos do PDI, mas não o único. O objetivo final da Visão Computacional não é uma imagem, mas sim uma descrição, interpretação ou decisão sobre o conteúdo da imagem (ex: 'carro detectado')."

"A Correção Gama é necessária porque o olho humano tem uma resposta linear à intensidade da luz, enquanto os monitores têm uma resposta não-linear.";False;"Falso — A premissa está incorreta. O olho humano também tem uma resposta não-linear (logarítmica/potência). A Correção Gama serve para alinhar o sinal linear do computador com a resposta não-linear tanto do monitor quanto da nossa percepção visual, garantindo uma representação tonal consistente."

"A rotação e a translação de uma imagem são exemplos de transformações de intensidade, pois alteram os valores de brilho dos pixels.";False;"Falso — São transformações geométricas, pois alteram as coordenadas (posição) dos pixels. Transformações de intensidade alteram os valores (brilho/cor) dos pixels sem mudar sua posição."

"A interpolação pelo vizinho mais próximo é ideal para aplicações que exigem alta qualidade visual na ampliação de imagens, pois produz os resultados mais suaves e com menos serrilhados.";False;"Falso — É o método 

mais rápido, mas de menor qualidade visual, resultando em imagens 'pixeladas' ou com serrilhados. Os métodos bilinear e bicúbico produzem resultados mais suaves."

"Para que dois pixels sejam considerados conectados, eles precisam ser, no mínimo, vizinhos imediatos um do outro, de acordo com a adjacência-4 ou adjacência-8.";False;"Falso — Para serem conectados, precisa existir um caminho de pixels adjacentes entre eles. A conectividade pode ser uma relação indireta, atravessando muitos pixels intermediários."


"Em um software de análise de imagens que precisa contar objetos e seus respectivos 'furos', é uma prática recomendada usar conectividade-8 tanto para os objetos (primeiro plano) quanto para o fundo, a fim de garantir consistência máxima.";False;"Falso — Esta é a condição que gera o Paradoxo da Conectividade. A prática recomendada é usar conectividades opostas (ex: 8 para o objeto e 4 para o fundo) para garantir uma topologia consistente e evitar ambiguidades."

"A principal diferença entre adjacência e conectividade é que a adjacência é uma propriedade local e direta entre dois pixels vizinhos, enquanto a conectividade é uma propriedade global que descreve a existência de um caminho entre dois pixels, mesmo que distantes.";True;"Verdadeiro — Essa é a distinção fundamental. Adjacência é a 'ligação' direta entre vizinhos que satisfazem um critério. Conectividade é a 'viagem' que pode ser feita através de uma sequência de ligações."



"A interpolação bilinear calcula o valor de um novo pixel baseando-se em uma vizinhança de 16 pixels da imagem original, o que garante uma excelente preservação de detalhes finos.";False;"Falso — A interpolação 

bilinear usa uma vizinhança de 4 pixels. A interpolação 

bicúbica é que usa uma vizinhança de 16 pixels para alcançar maior qualidade na preservação de detalhes."


"Uma imagem digital é definida como uma imagem onde as coordenadas espaciais 

x e y, assim como os valores de intensidade, são quantidades finitas e discretas.";True;"Verdadeiro — Essa é a definição formal que distingue uma imagem digital de uma imagem analógica (contínua)."

"Dobrar o número de bits de quantização de uma imagem (por exemplo, de 4 bits para 8 bits) resultará em um arquivo de imagem com o dobro do tamanho, assumindo que a resolução espacial (M x N) permanece a mesma.";True;"Verdadeiro — A quantidade de bits para armazenar uma imagem é dada por 

b=M×N×k. Se M e N são constantes, o tamanho 

b é diretamente proporcional a k. Portanto, dobrar k irá dobrar o tamanho do arquivo."

"A interpolação bilinear, ao fazer uma média ponderada dos 4 pixels vizinhos, pode introduzir novos valores de intensidade que não estavam presentes na imagem original.";True;"Verdadeiro — A interpolação pelo vizinho mais próximo apenas copia valores existentes. Já a interpolação bilinear calcula um novo valor (

v(x,y)=ax+by+cxy+d)  que frequentemente não existia nos pixels originais, criando transições de cor mais suaves."

"A adjacência-m (mista) foi desenvolvida para ser menos restritiva que a adjacência-8, permitindo que mais pixels sejam considerados conectados em situações ambíguas.";False;"Falso — A adjacência-m é mais restritiva que a adjacência-8. Ela foi criada para resolver ambiguidades, proibindo uma conexão diagonal se os pixels também tiverem um caminho 4-adjacente entre eles."

"A amostragem de uma imagem, que define sua resolução espacial, pode ser feita a qualquer taxa, pois a qualidade da imagem depende principalmente do número de bits de quantização.";False;"Falso — A taxa de amostragem é crucial. Se for muito baixa em relação aos detalhes da cena (abaixo da taxa de Nyquist), ocorrerá um artefato chamado 'aliasing' (serrilhado), que degrada a qualidade da imagem independentemente da quantização."

"As transformações de intensidade, como a negativação de uma imagem, são consideradas operações no domínio da frequência.";False;"Falso — São a forma mais simples de operação no 

domínio espacial, atuando em uma vizinhança de 1x1, onde o valor de saída depende apenas do valor do pixel no mesmo ponto."

"Técnicas de realce são, em geral, universais; um método que funciona bem para realçar imagens de satélite também será, por padrão, eficaz para imagens de raio-X.";False;"Falso — As técnicas de realce são fortemente 

orientadas ao problema. A escolha do método depende inteiramente das características da imagem e do objetivo da aplicação."

"A transformação logarítmica é utilizada principalmente para expandir os valores de pixels mais claros de uma imagem, realçando detalhes em áreas de alta luminosidade.";False;"Falso — O objetivo da transformação logarítmica é o oposto: mapear uma faixa estreita de valores de 

baixa intensidade (pixels escuros) para uma faixa de saída mais larga, realçando detalhes nas sombras."


"Em uma transformação de potência s=cr 
γ
 , um valor de γ=5.0 é usado para clarear imagens escuras e realçar detalhes nas sombras.";False;"Falso — Um gama maior que 1 (γ>1) aumenta o contraste geral, mas tende a escurecer a imagem e perder detalhes nas sombras. Para realçar detalhes nas sombras, são usados valores de 

gama menores que 1 (γ<1)."

"Ao decompor uma imagem de 8 bits em seus planos de bits, o plano 0 (bit menos significativo) contém a maior parte da informação visualmente perceptível da imagem.";False;"Falso — O plano 7 (bit mais significativo) contém a maior parte da informação visualmente relevante e da estrutura da imagem. O plano 0 contribui principalmente com detalhes finos e ruído."

"A principal vantagem das transformações lineares por partes é que elas são totalmente automáticas e não requerem nenhuma entrada do usuário.";False;"Falso — Sua principal desvantagem é que sua especificação requer mais entradas do usuário. A 

vantagem é que sua forma pode ser arbitrariamente complexa, oferecendo grande controle."

"O Fatiamento por Planos de Bits é útil para compressão de imagens porque os planos de bits menos significativos, por se assemelharem a ruído, podem ser descartados com pouco impacto visual.";True;"Verdadeiro — Essa é uma das principais aplicações da técnica. Descartar os planos de bits inferiores (ex: 0 e 1) reduz a quantidade de dados a serem armazenados com uma perda de qualidade visual mínima, sendo uma forma de compressão com perdas."

"O histograma de uma imagem é uma representação única; se duas imagens têm histogramas idênticos, podemos afirmar com certeza que as imagens são idênticas.";False;"Falso — O inverso não é verdadeiro. O histograma 

não contém informação espacial. Duas imagens com os mesmos pixels, mas em posições diferentes, terão o mesmo histograma."

"Em uma imagem de um tabuleiro de xadrez, a média do histograma estaria no centro da escala de cinza, e a variância seria muito baixa.";False;"Falso — A média estaria no centro, mas a variância seria muito alta. Uma imagem de xadrez é de altíssimo contraste, com pixels concentrados nos extremos (preto e branco), resultando em uma grande dispersão de valores em torno da média."

"A Equalização de Histograma é uma técnica que garante uma melhoria na qualidade visual de qualquer tipo de imagem, especialmente aquelas que já possuem um bom contraste.";False;"Falso — Ela pode degradar a qualidade de imagens que já possuem bom contraste ou que têm histogramas muito desiguais (ex: uma pequena área brilhante em um fundo muito grande e escuro), podendo amplificar o ruído."

"A função de transformação 

s=T(r) usada na equalização deve ser estritamente monotonicamente crescente para garantir que a ordem de brilho dos pixels seja preservada.";True;"Verdadeiro — Esta condição é crucial para garantir que a ordem tonal da imagem seja mantida, evitando que áreas claras se tornem mais escuras que áreas originalmente escuras e vice-versa."

"A Equalização de Histograma Local é computacionalmente mais barata que a global, pois processa apenas pequenas partes da imagem de cada vez.";False;"Falso — É 

muito mais cara computacionalmente, pois requer o cálculo de um histograma e de uma transformação para a vizinhança de cada pixel da imagem, enquanto a global faz esses cálculos apenas uma vez para a imagem inteira."


"Uma imagem predominantemente escura e de baixo contraste terá um histograma com um pico estreito no lado esquerdo e, consequentemente, uma função de transformação de equalização (FDA) que sobe muito rapidamente no início e depois se torna quase horizontal.";True;"Verdadeiro — Um pico à esquerda no histograma (muitos pixels escuros) faz com que a Função de Distribuição Acumulativa (FDA) suba rapidamente nessa região (curva íngreme) e depois cresça lentamente, pois há poucos pixels claros para acumular (curva plana)."

