enunciado;resposta;justificativa
"O escalonamento por prioridades pode levar ao problema de inanição (starvation), onde processos de baixa prioridade nunca são executados.";True;"Verdadeiro — Se houver um fluxo contínuo de processos de alta prioridade, os processos de baixa prioridade na fila de prontos podem ser perpetuamente ignorados pelo escalonador."
"O algoritmo de escalonamento 'Tempo Restante Mais Curto em Seguida' (SRTN) é um exemplo de escalonamento não-preemptivo.";False;"Falso — SRTN é a versão preemptiva do algoritmo 'Tarefa Mais Curta Primeiro' (SJF)."
"A principal meta de um escalonador em sistemas em lote é minimizar o tempo de resposta para o usuário.";False;"Falso — A meta principal em sistemas em lote é maximizar a vazão (throughput). Minimizar o tempo de resposta é a meta para sistemas interativos."
"O 'grau de multiprogramação' refere-se à quantidade de núcleos de CPU em um sistema.";False;"Falso — O grau de multiprogramação refere-se ao número de processos que são mantidos na memória principal (RAM) ao mesmo tempo."
"A Tabela de Processos (PCB) armazena apenas os registradores e o contador de programa de um processo.";False;"Falso — A Tabela de Processos armazena todo o contexto de um processo, incluindo estado, prioridade, ponteiros de memória, arquivos abertos, etc."
"Um processo orientado à CPU tende a ter longos surtos de computação intercalados com curtas esperas por E/S.";True;"Verdadeiro — Essa é a definição de um processo 'CPU-bound', que passa a maior parte do tempo realizando cálculos."
"O modelo de comunicação cliente-servidor só pode ser implementado em uma única máquina, sem o uso de rede.";False;"Falso — Embora possa ser usado em uma única máquina, o modelo é fundamental para a comunicação em rede."
"A principal função de uma controladora de dispositivo é executar o código dos aplicativos do usuário.";False;"Falso — A função de uma controladora é ser a interface de hardware para um dispositivo, traduzindo comandos do SO em sinais elétricos."
"Variáveis de condição são utilizadas para que uma thread possa esperar por uma condição específica sem precisar ficar em um laço de espera ocupada.";True;"Verdadeiro — Elas permitem que uma thread bloqueie (durma) de forma eficiente até que outra thread a sinalize de que a condição foi atendida."
"A chamada `pthread_yield` força o término imediato da thread que a invocou.";False;"Falso — A chamada `pthread_yield` cede voluntariamente a vez da CPU para que outra thread possa ser executada."
"O problema do 'Jantar dos Filósofos' é um exemplo clássico de um problema de impasse (`deadlock`).";True;"Verdadeiro — É o exemplo canônico para ilustrar a condição de espera circular que pode levar a um deadlock."
"A atomicidade das operações `UP` e `DOWN` em um semáforo é garantida pelo programador da aplicação, não pelo SO.";False;"Falso — A atomicidade dessas operações deve ser garantida pelo sistema operacional para que o semáforo funcione corretamente."
"O RCU garante que um leitor sempre acessará a versão mais atualizada de um dado.";False;"Falso — O RCU garante que o leitor acessará uma versão consistente ('snapshot') do dado, que pode estar ligeiramente desatualizada."
"O 'período de graça' no RCU é o tempo que um escritor deve esperar antes de começar a fazer a cópia da estrutura de dados.";False;"Falso — O período de graça ocorre *após* o escritor publicar a nova versão, para garantir que todos os leitores que usavam a versão antiga tenham terminado."
"Aumentar a quantidade de memória em um sistema sempre melhora a utilização da CPU, sem limites.";False;"Falso — A melhoria de desempenho ocorre até o ponto em que a CPU se torna o gargalo do sistema."
"O 'sistema supervisor' é um componente de software que gerencia threads em implementações no espaço do núcleo.";False;"Falso — O sistema supervisor faz parte das bibliotecas de threads que são implementadas no espaço do usuário."
"Uma thread pode ler ou até mesmo apagar a pilha de outra thread que pertence ao mesmo processo.";True;"Verdadeiro — Como as threads compartilham o mesmo espaço de endereçamento, não há proteção de memória entre elas."
"A chamada `pthread_join` é usada para criar uma nova thread.";False;"Falso — A chamada `pthread_join` faz com que uma thread espere pelo término de outra. `pthread_create` é usada para criar."
"Nos monitores, a exclusão mútua é garantida implicitamente pela estrutura da linguagem, tornando o código menos propenso a erros.";True;"Verdadeiro — Essa é a principal vantagem dos monitores sobre semáforos; a exclusão é gerenciada pelo compilador."
"A alternância estrita (explicit alternation) é uma solução eficiente e flexível para o problema da região crítica.";False;"Falso — Ela é funcional, mas ineficiente, pois força os processos a se revezarem estritamente, mesmo que um seja muito mais rápido que o outro."
"No problema do produtor-consumidor, um 'wakeup perdido' pode ocorrer se o consumidor for interrompido logo após verificar que o buffer está vazio, mas antes de dormir.";True;"Verdadeiro — Essa é a condição de corrida clássica que as primitivas 'sleep' e 'wakeup' sozinhas não resolvem, necessitando de semáforos."
